Song,Artist
Attack,30 Seconds To Mars
The Kill,30 Seconds To Mars
Amber,311
Beautiful Disaster,311
Down,311
Caught Up In You,.38 Special
Kryptonite,3 Doors Down
What's Up?,4 Non Blondes
Sons and Daughters,The 88
Visions,Abnormality
All That She Wants,Ace of Base
"Day Late, Dollar Short",The Acro-Brats
Hair Trigger,The Acro-Brats
Have Faith In Me,A Day To Remember
"I'm Made of Wax, Larry, What Are You Made Of?",A Day To Remember
Mindreader,A Day To Remember
Paranoia,A Day To Remember
Resentment,A Day To Remember
The Downfall of Us All,A Day To Remember
The Plot to Bomb the Panhandle,A Day To Remember
Toys in the Attic,Aerosmith
Train Kept A Rollin' (As Made Famous By),Aerosmith
Girl's Not Grey,Afi
Miss Murder,Afi
You Oughta Know,Alanis Morissette
Man in the Box,Alice In Chains
Smooth Criminal,Alien Ant Farm
Dirty Little Secret,All-American Rejects
Gives You Hell,All-American Rejects
Move Along,All-American Rejects
"Swing, Swing",All-American Rejects
Ramblin' Man,The Allman Brothers Band
Chiron,All That Remains
This Calling,All That Remains
Two Weeks,All That Remains
"Dear Maria, Count Me In",All Time Low
Weightless,All Time Low
Flavor of the Weak,American Hi-Fi
Rehab,Amy Winehouse
Blood Doll,Anarchy Club
Collide,Anarchy Club
Get Clean,Anarchy Club
Breaking,Anberlin
Feel Good Drag,Anberlin
Party Hard,Andrew W.K.
It Hurts,Angels & Airwaves
Sink,Animal Flag
Black Seas,Arctic Horror
Arabella,Arctic Monkeys
Open Water,Assuming We Survive
Blinded By Fear,At The Gates
No Regrets,Authority Zero
Monster,The Automatic
Almost Easy,Avenged Sevenfold
Hail to the King,Avenged Sevenfold
Pick Up the Pieces,Average White Band
Complicated,Avril Lavigne
Sk8er Boi,Avril Lavigne
Gimme Chocolate!!,Babymetal
Shooting Star,Bad Company
21st Century (Digital Boy),Bad Religion
Sorrow,Bad Religion
Blood Red Rock,Bang Camaro
Night Lies,Bang Camaro
Pleasure (Pleasure),Bang Camaro
ShadowBang (Head),Bang On A Can All-Stars
Thinking Emoji,Barely March
Shadow,Bearstronaut
Sabotage,Beastie Boys
So What'cha Want,Beastie Boys
E-Pro,Beck
Heaven Is A Place On Earth,Belinda Carlisle
Violent Shiver,Benjamin Booker
Blood for the Blood God,Ben Quad
These Hands,Bent Knee
Forget About Tomorrow,The Bergamot
Prequel to the Sequel,Between The Buried And Me
Rebel Girl,Bikini Kill
White Wedding (Part 1),Billy Idol
No Place For Me,Black Beach
(You're) Breakin' Up,The Black Cheers
What a Horrible Night to Have a Curse,The Black Dahlia Murder
Fever,The Black Keys
War Pigs,Black Sabbath
Shockwave,Black Tide
Some1Else,Blame It On Whitman
Adam's Song,Blink-182
Aliens Exist,Blink-182
All the Small Things,Blink-182
Dammit,Blink-182
Down,Blink-182
Feeling This,Blink-182
First Date,Blink-182
I Miss You,Blink-182
The Rock Show,Blink-182
What's My Age Again?,Blink-182
Call Me,Blondie
One Way or Another,Blondie
The Bad Touch,Bloodhound Gang
(Don't Fear) The Reaper,Blue Öyster Cult
Song 2,Blur
Tangled Up in Blue,Bob Dylan
Jamming,Bob Marley and the Wailers
Three Little Birds,Bob Marley and the Wailers
Livin' on a Prayer,Bon Jovi
Wanted Dead or Alive,Bon Jovi
You Give Love a Bad Name,Bon Jovi
Foreplay/Long Time,Boston
More Than a Feeling,Boston
Milwaukee,The Both
The Great Escape,Boys Like Girls
Thunder,Boys Like Girls
Start A Band,Brad Paisley Ft. Keith Urban
Mainstream Kid,Brandi Carlile
Shoulder to the Plow,Breaking Wheel
Summer of '69,Bryan Adams
Ever Fallen in Love (As Made Famous By),Buzzcocks
Bounce,The Cab
One of THOSE Nights,The Cab
Short Skirt/Long Jacket,Cake
Wherever You Will Go,The Calling
Hammer Smashed Face,Cannibal Corpse
Kung Fu Fighting,Carl Douglas
Call Me Maybe,Carly Rae Jepsen
Hello There,Cheap Trick
Get It On,The Chevelles
Caves,Chiodos
"I Didn't Say I Was Powerful, I Said I Was Lucky",Chiodos
Lexington (Joey Pea-Pot with a Monkey Face),Chiodos
Tubthumping,Chumbawamba
I Fought the Law,The Clash
Should I Stay or Should I Go,The Clash
Give It to Me,Cocktail Slippers
A Favor House Atlantic,Coheed And Cambria
Ten Speed (Of God's Blood & Burial),Coheed And Cambria
Welcome Home,Coheed And Cambria
Dreaming of You,The Coral
Accidentally in Love,Counting Crows
History Repeats,Creaturos
Higher,Creed
With Arms Wide Open,Creed
Nightmare,Crooked X
Friday I'm In Love,The Cure
Lovesong,The Cure
(I Just) Died in Your Arms,Cutting Crew
Girls Just Want To Have Fun,Cyndi Lauper
Thug Love,Dance For The Dying
Prisoner,Dance Gavin Dance
I Believe in a Thing Called Love,The Darkness
V-Bomb,Dark Wheels
Hands Down,Dashboard Confessional
Let's Dance,David Bowie
Suffragette City,David Bowie
Database Corrupted,Dealership
Can't Let Go,Death Of The Cool
Highway Star,Deep Purple
Hole in the Earth,Deftones
My Own Summer,Deftones
Enjoy The Silence,Depeche Mode
Clouds Over California,Devildriver
"Hey John, What's Your Name Again?",The Devil Wears Prada
HTML Rulez D00d,The Devil Wears Prada
Uncontrollable Urge,Devo
Feel the Pain,Dinosaur Jr.
Down with the Sickness,Disturbed
Prayer,Disturbed
I Hear the Dead,Dolly Spartans
